genus,species
Palliolum,miliaris
Sterna,acutorostrata
Caribachlamys,chenianus
Eumicrotremus,tricuspis
Cetopsis,spinus
Chiloscyllium,dentata
Haopterus,zijsron
Flabellina,marthae
Colobocentrotus,ornata
Calumma,rubra
Euoplocephalus,longurio
Macrocheira,sarsii
Phyllidia,goudotii
Lycodes,poiciloptilus
Andigena,parvus
Euapta,gammarus
Libinia,erythrorhynchus
Argopecten,depurator
Heterostichus,rathbunae
Pleurobranchus,lucius
Aurigequula,altivelis
Dardanus,lepturus
Urogymnus,chenianus
Balistes,multiannulatus
Anthracoceros,leucospilota
Rhynchophis,snyderi
Tadarida,eglanteria
Enoploteuthis,galapagensis
Oryzias,stejnegeri
Uropterygius,thysanodes
Osteodiscus,erythrorhynchus
Psaumis,liturosus
Exocoetus,fasciata
Axinella,atramentatus
Menoceras,lupus
Dryococelus,guinazui
Aratinga,eleutherus
Antennarius,exesa
Semicossyphus,grandidieri
Sterna,fascicularis
Tiburonia,setapinnis
Myoxocephalus,melanostomus
Eretmochelys,harlani
Urobatis,castelnaui
Basilornis,eglanteria
Platygonus,radiatus
Ventrifossa,retusa
Mespilia,duebeni
Ophiopholis,kempii
Plesiotrygon,labrax
Hyperprosopon,pistillata
Urasterias,tyrannus
Asaphus,baileyi
Tetrapturus,deckeni
Choerodon,falcatus
Echidna,neptuni
Tubipora,clavata
Physalia,nemurus
Yarrella,minimus
Lytechinus,megalopterus
Microspathodon,saltatrix
Loriculus,assasi
Calappa,actiniformis
Tachybaptus,formosa
Limosa,fucosus
Maiacetus,latus
Todarodes,natalis
Porzana,subruficollis
Nautilus,ciliaris
Neohela,verrucosus
Pseudanthias,pachyrhyncha
Cereopsis,brevicauda
Phocoena,antennatus
Congrogadus,granti
Hesperocyon,ventalina
Patiria,emmelas
Stockoceros,elongatum
Olenellus,manilensis
Pachygrapsus,montium
Conoryctes,albocristatus
Tubipora,jeffersoni
Scorpis,serracanthus
Tockus,longispinis
Calidris,inscriptus
Mustela,hildebrandi
Moropus,cortezianus
Cherublemma,ophiura
Thor,ellioti
Arctonyx,productus
Chiloscyllium,grandis
Sabella,striatus
Ophidion,furcifer
Palythoa,johnstoni
Rhinochimaera,murinus
Takifugu,teres
Paratilapia,nemurus
Anchoa,spectabilis
Ctenochasma,acanthognathus
Histioteuthis,nigromaculatus
Cetopsis,socialis
Gymnorhina,ornitholestoides
Callopistes,exarhatus
